"id","codbarras","nome","preco_venda"
57287,"7898320023075",LIMPADOR DENGO C/BRILHO 5LT,"15,95"
57288,"7898320023044",DET.DESENG.DENGO SOFT 5LT,"25,9"
57289,"7899674001726",ODOR.ULTRAFRESH CAPIM LIMAO 360ML,"11,95"
57290,"7899674001733",ODOR.ULTRAFRESH CRAVO/CANELA 240GR,"11,95"
57291,"7897949900415",MAC.BOA MESA CASEIRA 500GR,"4,59"
57292,"7312040017010",BEB.VODKA ABSOLUT 750ML,"99,9"
57293,"7896054905483",MOLHO DAJUDA BARBECUE 190GR,"3,99"
57294,"7898932426073",FARINHA LACTEA MARATA SACHET 230GR,"5,69"
57295,"7891177081137",SAB.LIQ.FIORUCCI CEREJEIRA 500ML,"18,9"
57296,"7898078317228",ETIQUETA ESCOLAR REFLEX 53X80 VMLL,"2,5"
57297,"7896326905999",LAPIS COR CIS COLORCIS 12CORES APON,"12,9"
57298,"7891153073071",MASSA MODELAR ACRILEX 500G AMARELA,"15,9"
57299,"7896279114998",SHAMPOO ALISENA 300ML CRESCE 300ML,"19,9"
57300,"7896279115001",COND.ALISENA 300ML CRESCE CAB 300ML,"21,9"
57302,"7896279115032",FINALIZADOR ALISENA 100ML CRE 100ML,"10,9"
57303,"7897158724963",MATIZADOR GOTA DOUR.300ML GRA 300ML,"33,9"
57304,"7897158724857",MATIZADOR GOTA DOUR.PLATINADO 300ML,"33,9"
57305,"7897158724864",MATIZADOR GOTA DOUR.300ML VML 300ML,"33,9"
57306,"7898024397229",OVO FERRERO ROCHER COLLECTION 354GR,"69,9"
57307,"7898024397199",OVO FERRERO ROCHER 225GR,"59,9"
57310,"7891000251720",OVO NESTLE LEITE 185GR,"29,9"
57315,"7891008135626",OVO GAROTO SERENATA 220GR,"29,9"
57316,"7891008144932",OVO GAROTO NEGRESCO 185GR,"29,9"
57318,"7891008107357",OVO GAROTO AO LEITE 185GR,"29,9"
57319,"7891008181647",OVO GAROTO TALENTO AVELA 350GR,"39,9"
57320,"7891008183146",OVO GAROTO TALENTO CASTANHA 350GR,"39,9"
57323,"78905320",CERVEJA SERRAMALTE GARAFFA 600ML,"5,99"
57324,"7899838827490",TABLET MULTILASER 8GB M7 PLUS 3G RS,"449,9"
57325,"7899838827476",TABLET MULTILASER 8GB M7 PLUS 3G PT,"449,9"
57326,"7891000252819",IOG.CHAMYTO GO MORANGO 100GR,"3,59"
57327,"7891000252833",IOG.CHAMYTO GO VITAM.FRUTAS 100GR,"3,59"
57328,"573283",CABO DADOS KIMASTER V8 9110,"8,5"
57329,"8784545121513",CARREGADOR CELULAR INOVA 601,"27,5"
57330,"745883636518",CARREGADOR CELULAR X-TRAD TURBO,"39,8"
57331,"7898941172039",PILHA BR55 AA C/4,"5,9"
57332,"7894650013991",PEDRA SANIT.GLADE PINHO 25%D 25GR,"2,97"
57333,"7896327515371",MIST.BOLO APTI INTEGRAL BANAN 400GR,"4,99"
57334,"7896327515364",MIST.BOLO APTI INTEGRAL CHOCO 400GR,"4,99"
57337,"7898913137387",BEB.CAIPIRINHA VINHO TREVISOL 355ML,"7,95"
57342,"7898581652311",PAO DE MEL LA FELTRE 90GR,"2,29"
57343,"7898581652304",PAO DE MEL LA FELTRE 300GR,"4,95"
57345,"7896007549368",ABS.INTIMUS C/8 ABAS SPORT,"5,39"
57346,"7891150055896",SORVETE KIBON 1.3L CHICABOM CHOC,"27,9"
57347,"0000009414686",AMENDOIM GRANULADO 1.01KG,"0"
57348,"7899466417155",ELETRO LIQUID.PHILCO PH900 VML C/FI,"269"
57349,"7896509970363",TINTURA BEAUTY PROFISSIONAL 11.11,"11,99"
57350,"7896013561644",DESEMBARACANTE 120ML NOVEX SPRAY CA,"15,95"
57351,"7591083011098",ESC.DENTAL COLGATE KIDS 2-5,"22,9"
57352,"7891024037812",ESC.DENTAL COLGATE MINIONS CR.DENT,"22,9"
57353,"7891024008799",ESC.DENTAL COLGATE TANDY C/2,"9,95"
57354,"7891010040031",ESC.DENTAL TEK JUNIOR MACIA,"4,99"
57355,"7891055804001",PROTETOR DE CERDAS CONDOR C/3,"5,9"
57356,"7896030898280",POTE C/TAMPA COPOBRAS C/6 250ML,"2,99"
57357,"7896030898273",POTE C/TAMPA COPOBRAS C/6 500ML,"4,99"
